sido,sigungu,crime,violence
소계,소계,774819,243038
서울특별시,소계,152454,45401
서울특별시,종로구,5101,1583
서울특별시,중구,4475,1576
서울특별시,용산구,5249,2223
서울특별시,성동구,4714,1161
서울특별시,광진구,4744,1555
서울특별시,동대문구,5191,1606
서울특별시,중랑구,5287,1738
서울특별시,성북구,4824,1303
서울특별시,강북구,4264,1320
서울특별시,도봉구,3165,944
서울특별시,노원구,4636,1596
서울특별시,은평구,5362,1710
서울특별시,서대문구,3772,1036
서울특별시,마포구,6587,2430
서울특별시,양천구,4739,1483
서울특별시,강서구,7727,2337
서울특별시,구로구,5928,1815
서울특별시,금천구,4815,1133
서울특별시,영등포구,7826,2370
서울특별시,동작구,4727,1377
서울특별시,관악구,8651,2520
서울특별시,서초구,8533,2196
서울특별시,강남구,17235,4012
서울특별시,송파구,9574,2680
서울특별시,강동구,5328,1697
부산광역시,소계,56723,17679
부산광역시,중구,1816,695
부산광역시,서구,1766,505
부산광역시,동구,2236,799
부산광역시,영도구,1394,513
부산광역시,부산진구,8889,3183
부산광역시,동래구,3904,1200
부산광역시,남구,4675,1149
부산광역시,북구,3874,980
부산광역시,강서구,2486,678
부산광역시,해운대구,5719,1551
부산광역시,사하구,4030,1311
부산광역시,금정구,3143,935
부산광역시,연제구,3947,1177
부산광역시,수영구,2492,1116
부산광역시,사상구,3721,1162
부산광역시,기장군,2631,725
대구광역시,소계,34411,11439
대구광역시,중구,2868,1183
대구광역시,동구,5140,1799
대구광역시,서구,2758,1054
대구광역시,남구,2547,847
대구광역시,북구,5302,1679
대구광역시,수성구,5822,1550
대구광역시,달서구,7334,2387
대구광역시,달성군,2438,858
대구광역시,군위군,202,82
인천광역시,소계,46957,14996
인천광역시,중구,3931,1064
인천광역시,동구,576,221
인천광역시,미추홀구,7889,2687
인천광역시,연수구,5085,1495
인천광역시,남동구,7933,2452
인천광역시,부평구,7980,3026
인천광역시,계양구,3990,1260
인천광역시,서구,8567,2382
인천광역시,강화군,833,334
인천광역시,옹진군,173,75
광주광역시,소계,22407,6894
광주광역시,동구,1995,729
광주광역시,서구,5644,1839
광주광역시,남구,2380,760
광주광역시,북구,5856,1587
광주광역시,광산구,6532,1979
대전광역시,소계,24994,8063
대전광역시,동구,4226,1365
대전광역시,중구,4858,1684
대전광역시,서구,8575,2765
대전광역시,유성구,4863,1363
대전광역시,대덕구,2472,886
울산광역시,소계,14511,4947
울산광역시,중구,2272,754
울산광역시,남구,5370,1833
울산광역시,동구,1889,783
울산광역시,북구,1974,757
울산광역시,울주군,3006,820
세종특별자치시,소계,4335,1038
경기도,소계,198699,61397
경기도,고양시,12701,4073
경기도,과천시,842,197
경기도,광명시,3507,1160
경기도,광주시,5610,1784
경기도,구리시,2385,790
경기도,군포시,3159,847
경기도,김포시,7835,2208
경기도,남양주시,8094,2466
경기도,동두천시,1571,624
경기도,부천시,12717,4234
경기도,성남시,13648,4208
경기도,수원시,20374,5781
경기도,시흥시,8422,2823
경기도,안산시,11918,4100
경기도,안성시,2821,903
경기도,안양시,6088,2031
경기도,양주시,3308,1172
경기도,여주시,1722,485
경기도,오산시,3894,1361
경기도,용인시,12181,3529
경기도,의왕시,1472,406
경기도,의정부시,7040,2330
경기도,이천시,3358,1051
경기도,파주시,8327,2254
경기도,평택시,12423,3725
경기도,포천시,2237,788
경기도,하남시,4813,1129
경기도,화성시,12337,3776
경기도,연천군,729,292
경기도,가평군,1145,342
경기도,양평군,2021,528
강원도,소계,21747,7636
강원도,강릉시,3145,1294
강원도,동해시,991,453
강원도,삼척시,852,320
강원도,속초시,1728,599
강원도,원주시,5359,1646
강원도,춘천시,4022,1262
강원도,태백시,482,170
강원도,홍천군,869,323
강원도,횡성군,455,152
강원도,영월군,462,175
강원도,평창군,503,184
강원도,정선군,552,210
강원도,철원군,654,170
강원도,화천군,308,110
강원도,양구군,232,112
강원도,인제군,420,101
강원도,고성군,360,147
강원도,양양군,353,208
충청북도,소계,21414,6504
충청북도,제천시,1595,458
충청북도,청주시,11481,3452
충청북도,충주시,2520,821
충청북도,보은군,379,103
충청북도,옥천군,720,181
충청북도,영동군,316,104
충청북도,증평군,266,116
충청북도,진천군,1690,483
충청북도,괴산군,624,140
충청북도,음성군,1556,527
충청북도,단양군,267,119
충청남도,소계,32078,9951
충청남도,계룡시,237,78
충청남도,공주시,1231,364
충청남도,논산시,1688,484
충청남도,당진시,2591,821
충청남도,보령시,1115,395
충청남도,서산시,2482,838
충청남도,아산시,4913,1671
충청남도,천안시,12548,3645
충청남도,금산군,596,216
충청남도,부여군,506,177
충청남도,서천군,602,198
충청남도,청양군,334,110
충청남도,예산군,1212,310
충청남도,태안군,912,353
충청남도,홍성군,1111,291
전라북도,소계,24415,7607
전라북도,군산시,3922,1214
전라북도,김제시,887,322
전라북도,남원시,996,338
전라북도,익산시,4249,1310
전라북도,전주시,9897,2905
전라북도,정읍시,1152,451
전라북도,완주군,964,337
전라북도,고창군,674,212
전라북도,부안군,505,173
전라북도,임실군,200,58
전라북도,순창군,184,66
전라북도,진안군,298,69
전라북도,무주군,288,86
전라북도,장수군,199,66
전라남도,소계,25057,8641
전라남도,광양시,2201,694
전라남도,나주시,1512,494
전라남도,목포시,4552,1358
전라남도,순천시,4090,1387
전라남도,여수시,4104,1411
전라남도,담양군,391,151
전라남도,곡성군,284,92
전라남도,구례군,237,102
전라남도,고흥군,655,285
전라남도,보성군,390,157
전라남도,화순군,757,229
전라남도,장흥군,432,161
전라남도,강진군,366,155
전라남도,해남군,757,291
전라남도,영암군,675,287
전라남도,무안군,1083,338
전라남도,함평군,294,120
전라남도,영광군,502,214
전라남도,장성군,443,177
전라남도,완도군,597,243
전라남도,진도군,386,165
전라남도,신안군,349,130
경상북도,소계,34446,10882
경상북도,경산시,4444,1197
경상북도,경주시,3260,1098
경상북도,구미시,6223,1728
경상북도,김천시,1667,546
경상북도,문경시,820,276
경상북도,상주시,1199,367
경상북도,안동시,2058,622
경상북도,영주시,1063,465
경상북도,영천시,1349,476
경상북도,포항시,6196,1959
경상북도,의성군,496,150
경상북도,청송군,295,144
경상북도,영양군,161,69
경상북도,영덕군,522,197
경상북도,청도군,529,216
경상북도,고령군,334,124
경상북도,성주군,566,184
경상북도,칠곡군,1735,562
경상북도,예천군,672,192
경상북도,봉화군,213,93
경상북도,울진군,556,188
경상북도,울릉군,88,29
경상남도,소계,44897,15031
경상남도,거제시,3571,1296
경상남도,김해시,6816,2326
경상남도,밀양시,1425,544
경상남도,사천시,1482,546
경상남도,양산시,4714,1577
경상남도,진주시,5227,1522
경상남도,창원시,14491,4674
경상남도,통영시,1871,840
경상남도,함안군,840,208
경상남도,거창군,677,237
경상남도,창녕군,842,242
경상남도,고성군,661,198
경상남도,하동군,487,175
경상남도,합천군,401,155
경상남도,남해군,417,130
경상남도,함양군,353,119
경상남도,산청군,263,107
경상남도,의령군,359,135
제주도,소계,15274,4932
제주도,서귀포시,3714,1334
제주도,제주시,11560,3598
