sido,sigungu,population
전국,소계,51217221
서울특별시,소계,9331828
서울특별시,종로구,138336
서울특별시,중구,120544
서울특별시,용산구,203854
서울특별시,성동구,273669
서울특별시,광진구,331963
서울특별시,동대문구,338735
서울특별시,중랑구,379274
서울특별시,성북구,421560
서울특별시,강북구,283597
서울특별시,도봉구,303228
서울특별시,노원구,491247
서울특별시,은평구,460919
서울특별시,서대문구,302853
서울특별시,마포구,361417
서울특별시,양천구,430976
서울특별시,강서구,556171
서울특별시,구로구,388169
서울특별시,금천구,225159
서울특별시,영등포구,373773
서울특별시,동작구,375799
서울특별시,관악구,477812
서울특별시,서초구,408376
서울특별시,강남구,557345
서울특별시,송파구,650110
서울특별시,강동구,476942
부산광역시,소계,3266598
부산광역시,중구,37537
부산광역시,서구,103188
부산광역시,동구,85911
부산광역시,영도구,103737
부산광역시,부산진구,359281
부산광역시,동래구,274370
부산광역시,남구,254498
부산광역시,북구,267692
부산광역시,해운대구,376404
부산광역시,사하구,292491
부산광역시,금정구,209932
부산광역시,강서구,142789
부산광역시,연제구,212589
부산광역시,수영구,171918
부산광역시,사상구,198635
부산광역시,기장군,175626
대구광역시,소계,2363629
대구광역시,중구,97711
대구광역시,동구,342339
대구광역시,서구,163135
대구광역시,남구,136263
대구광역시,북구,413010
대구광역시,수성구,409107
대구광역시,달서구,522021
대구광역시,달성군,257580
대구광역시,군위군,22463
인천광역시,소계,3021010
인천광역시,중구,167113
인천광역시,동구,58296
인천광역시,미추홀구,412274
인천광역시,연수구,400213
인천광역시,남동구,486225
인천광역시,부평구,493200
인천광역시,계양구,280227
인천광역시,서구,634064
인천광역시,강화군,69402
인천광역시,옹진군,19996
광주광역시,소계,1408422
광주광역시,동구,106203
광주광역시,서구,279050
광주광역시,남구,207597
광주광역시,북구,423961
광주광역시,광산구,391611
대전광역시,소계,1439157
대전광역시,동구,218513
대전광역시,중구,225008
대전광역시,서구,457951
대전광역시,유성구,369468
대전광역시,대덕구,168217
울산광역시,소계,1098049
울산광역시,중구,207000
울산광역시,남구,304885
울산광역시,동구,150836
울산광역시,북구,216522
울산광역시,울주군,218806
세종특별자치시,소계,390685
세종특별자치시,세종특별자치시,390685
경기도,소계,13694685
경기도,수원시,1193005
경기도,성남시,913009
경기도,고양시,1070120
경기도,용인시,1085864
경기도,부천시,769918
경기도,안산시,620579
경기도,안양시,556492
경기도,남양주시,732482
경기도,화성시,968821
경기도,평택시,598556
경기도,의정부시,461271
경기도,시흥시,518132
