도시,인구수
소계,51217221
소계,9331828
종로구,138336
중구,120544
용산구,203854
성동구,273669
광진구,331963
동대문구,338735
중랑구,379274
성북구,421560
강북구,283597
도봉구,303228
노원구,491247
은평구,460919
서대문구,302853
마포구,361417
양천구,430976
강서구,556171
구로구,388169
금천구,225159
영등포구,373773
동작구,375799
관악구,477812
서초구,408376
강남구,557345
송파구,650110
강동구,476942
소계,3266598
중구,37537
서구,103188
동구,85911
영도구,103737
부산진구,359281
동래구,274370
남구,254498
북구,267692
해운대구,376404
사하구,292491
금정구,209932
강서구,142789
연제구,212589
수영구,171918
사상구,198635
기장군,175626
소계,2363629
중구,97711
동구,342339
서구,163135
남구,136263
북구,413010
수성구,409107
달서구,522021
달성군,257580
군위군,22463
소계,3021010
중구,167113
동구,58296
미추홀구,412274
연수구,400213
남동구,486225
부평구,493200
계양구,280227
서구,634064
강화군,69402
옹진군,19996
소계,1408422
동구,106203
서구,279050
남구,207597
북구,423961
광산구,391611
소계,1439157
동구,218513
중구,225008
서구,457951
유성구,369468
대덕구,168217
소계,1098049
중구,207000
남구,304885
동구,150836
북구,216522
울주군,218806
소계,390685
세종특별자치시,390685
소계,13694685
수원시,1193005
성남시,913009
고양시,1070120
용인시,1085864
부천시,769918
안산시,620579
안양시,556492
남양주시,732482
화성시,968821
평택시,598556
의정부시,461271
시흥시,518132
파주시,511308
광명시,278167
김포시,486853
군포시,255931
광주시,397605
이천시,222443
양주시,289005
오산시,242065
구리시,186882
안성시,193949
포천시,141463
의왕시,154488
하남시,329120
여주시,114610
양평군,126804
동두천시,86838
과천시,85512
가평군,62527
연천군,40866
소계,1517766
춘천시,286069
원주시,362164
강릉시,207731
동해시,87675
태백시,37936
속초시,80933
삼척시,61735
홍천군,66717
횡성군,46111
영월군,36721
평창군,40396
정선군,33515
철원군,40497
화천군,22922
양구군,20621
인제군,31535
고성군,26999
양양군,27489
소계,1591177
청주시,854537
충주시,207241
제천시,128569
보은군,30527
옥천군,48204
영동군,43551
진천군,86537
괴산군,36252
음성군,91236
단양군,27352
증평군,37171
소계,2136574
천안시,659920
공주시,101285
보령시,93780
아산시,355014
서산시,174445
논산시,108529
계룡시,46540
당진시,171931
금산군,49615
부여군,59550
서천군,48204
청양군,29658
홍성군,99198
예산군,78772
태안군,60133
소계,1738690
전주시,635651
군산시,258047
익산시,268001
정읍시,102127
남원시,75647
김제시,80635
완주군,99279
진안군,24161
무주군,23032
장수군,20663
임실군,25577
순창군,26822
고창군,50982
부안군,48066
소계,1788819
목포시,209890
여수시,267816
순천시,276329
나주시,116654
광양시,154692
담양군,44623
곡성군,26566
구례군,24025
고흥군,60190
보성군,37045
화순군,60735
장흥군,34451
강진군,32189
해남군,63120
영암군,51391
무안군,92687
함평군,30010
영광군,52098
장성군,42026
완도군,45631
진도군,28478
신안군,38173
소계,2531384
포항시,491581
경주시,244769
김천시,135446
안동시,153159
구미시,404820
영주시,98870
영천시,98143
상주시,91850
문경시,67257
경산시,266398
의성군,48690
청송군,23716
영양군,15328
영덕군,33210
청도군,40582
고령군,30062
성주군,41452
칠곡군,107383
예천군,54609
봉화군,28836
울진군,46124
울릉군,9099
소계,3228380
창원시,999858
진주시,338785
통영시,118481
사천시,108504
김해시,531676
밀양시,100691
거제시,232972
양산시,359531
의령군,25150
함안군,58842
창녕군,56085
고성군,48005
남해군,39832
하동군,40765
산청군,33259
함양군,36131
거창군,59588
합천군,40225
소계,670368
제주시,488348
서귀포시,182020
