"죄종별(1)",죄종별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"죄종별(1)",죄종별(2),한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국
"죄종별(1)",죄종별(2),서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,대구,대구,대구,대구,대구,대구,대구,대구,대구,인천,인천,인천,인천,인천,인천,인천,인천,인천,인천,광주,광주,광주,광주,광주,대전,대전,대전,대전,대전,울산,울산,울산,울산,울산,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도
"죄종별(1)",죄종별(2),종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,중구,서구,동구,영도구,부산진구,동래구,남구,북구,강서구,해운대구,사하구,금정구,연제구,수영구,사상구,기장군,중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군,중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군,동구,서구,남구,북구,광산구,동구,중구,서구,유성구,대덕구,중구,남구,동구,북구,울주군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시
"강력범죄",살인기수,-,3,5,2,1,2,3,1,-,5,3,6,1,1,3,3,2,2,2,1,1,4,3,4,-,1,-,-,1,2,3,2,1,-,2,1,1,2,1,-,1,1,-,-,-,1,2,7,1,-,1,-,3,3,2,2,-,2,-,-,-,2,1,2,2,2,-,4,4,-,1,1,3,1,3,3,1,3,-,-,-,5,1,-,3,2,8,1,6,-,-,1,-,-,1,-,2,-,4,4
"강력범죄",살인미수등,1,2,5,3,1,5,2,1,6,2,4,3,2,3,1,2,5,4,8,-,3,6,13,1,3,-,3,2,1,2,-,2,4,3,-,4,3,4,1,5,-,1,4,3,-,3,6,1,3,-,2,1,11,4,6,5,4,6,1,-,1,2,1,3,2,5,-,6,4,2,6,2,2,1,3,8,1,1,3,1,3,3,6,2,8,7,9,11,6,3,-,1,-,3,11,1,3,1,7,7
"강력범죄",강도,5,5,4,2,6,4,2,1,-,-,3,1,-,4,1,6,-,3,6,1,3,5,17,3,4,1,1,5,1,8,4,-,2,2,1,3,4,4,1,1,-,1,9,2,-,2,-,1,-,-,4,-,8,2,4,8,1,6,-,-,-,7,1,3,7,5,1,5,5,1,-,4,5,1,2,10,-,2,5,-,1,3,9,4,3,5,7,4,8,-,-,4,-,1,1,-,2,1,6,6
"강력범죄",강간,31,21,52,22,49,25,35,32,40,18,29,37,40,89,16,53,30,31,58,20,88,52,161,71,24,14,9,13,3,60,20,23,14,9,33,19,16,14,25,14,11,29,27,18,25,23,16,47,11,1,23,3,78,21,48,72,20,45,4,2,8,40,8,32,39,28,37,51,30,12,12,42,11,14,15,59,-,11,19,14,14,29,52,15,70,67,112,51,80,16,54,18,8,27,49,10,43,14,44,71
"강력범죄",유사강간,6,7,9,3,9,9,5,8,3,1,6,1,7,23,3,16,7,2,10,7,22,13,42,8,9,1,2,-,2,9,3,6,4,2,6,4,4,2,5,4,3,3,1,4,3,4,4,16,6,1,3,-,11,2,6,9,6,8,1,3,5,12,1,3,12,8,4,8,9,2,-,7,1,-,2,6,-,3,6,3,4,7,8,2,9,18,27,10,18,2,3,5,2,1,11,-,10,4,6,14
"강력범죄",강제추행,171,150,201,88,178,90,102,105,98,55,108,93,83,391,85,193,150,93,212,152,221,295,428,236,133,30,16,49,17,242,57,75,55,35,101,59,52,70,66,63,46,150,100,50,44,71,99,126,52,1,90,12,168,97,160,215,71,181,15,5,42,132,49,101,98,55,94,164,84,53,45,122,37,31,42,210,15,44,75,58,49,99,121,37,251,236,369,135,229,39,153,65,36,63,193,32,130,65,121,192
"강력범죄",기타 강간/강제추행등,-,2,-,1,1,1,-,1,-,-,-,-,1,1,1,3,-,1,1,2,4,1,4,1,-,-,1,-,-,1,2,1,1,-,2,-,-,-,1,-,1,1,-,-,2,-,-,4,-,-,-,-,2,-,4,2,-,3,-,-,-,1,-,2,2,-,1,1,4,1,1,-,-,-,-,1,-,2,2,1,2,-,1,1,1,2,3,1,1,1,-,-,1,1,2,-,1,-,2,3
"강력범죄",방화,9,8,6,7,7,8,10,5,4,5,9,10,2,6,9,12,5,5,3,7,11,8,9,10,5,3,3,2,1,11,10,1,8,2,12,5,1,5,1,3,5,3,6,3,6,4,6,8,2,-,5,1,14,3,10,12,4,10,1,-,1,8,4,9,6,11,6,7,1,5,1,3,3,2,4,9,1,-,4,4,3,5,10,5,23,19,16,12,15,6,13,3,2,8,16,-,10,6,6,10
"폭력범죄",상해,110,96,103,74,89,88,117,67,71,58,68,111,54,140,84,126,80,74,141,78,103,71,246,119,96,69,54,99,49,206,120,117,94,90,123,163,96,113,111,104,100,89,194,122,91,176,175,212,104,16,105,23,173,104,209,199,93,168,37,10,57,140,74,93,164,100,93,189,99,84,75,146,82,54,94,206,11,43,77,32,59,105,205,42,245,292,286,158,271,73,148,63,34,98,194,29,140,76,135,226
"폭력범죄",폭행,785,866,1187,504,705,869,840,648,703,488,885,813,495,1179,733,1171,961,548,1187,701,1304,1091,1900,1374,909,391,227,384,254,1558,575,453,427,305,689,559,388,609,510,563,287,553,772,504,400,805,676,1183,414,23,474,101,1362,806,1169,1533,612,1062,119,31,407,922,364,764,955,725,961,1497,690,432,346,888,356,373,364,2156,106,628,890,418,408,1115,1188,290,2019,2074,2792,1356,2034,416,979,593,196,634,1781,189,1324,478,1113,1940
"폭력범죄",체포/감금,2,5,9,1,7,2,3,8,3,2,2,4,5,8,3,11,2,4,8,4,17,13,27,15,3,1,2,-,1,7,3,4,3,2,11,4,2,7,2,2,3,3,7,6,2,9,2,13,1,-,4,2,25,3,6,16,11,14,1,-,3,4,1,3,13,5,7,10,5,3,2,10,3,1,2,20,-,4,9,6,2,7,13,1,14,16,20,4,14,4,5,4,3,5,16,1,8,2,15,18
"폭력범죄",협박,143,125,146,148,120,168,186,127,129,94,164,181,106,196,158,269,175,151,188,148,265,182,348,293,172,47,57,103,56,264,93,154,97,88,172,152,117,98,121,133,84,88,222,91,63,176,150,231,74,17,109,22,249,106,240,258,122,278,40,5,44,149,67,175,164,144,133,271,128,91,89,158,53,65,59,490,24,145,198,84,65,226,268,62,438,457,570,358,394,97,202,137,75,103,360,52,214,98,257,326
"폭력범죄",약취/유인,1,-,5,1,2,2,5,1,1,1,3,1,3,1,5,2,-,-,3,3,4,6,8,2,6,-,-,2,-,5,3,1,-,2,3,3,1,-,-,2,2,1,2,1,-,2,-,2,4,-,2,-,4,1,3,4,2,12,-,1,-,-,-,7,1,-,3,3,-,3,2,4,2,2,-,7,-,4,-,-,2,3,2,2,3,3,6,3,3,1,2,-,-,4,4,-,3,1,1,4
"폭력범죄",폭력행위등,23,37,47,17,22,27,41,17,27,20,26,18,9,41,27,36,38,18,79,11,34,35,76,32,22,23,10,14,8,97,36,36,30,12,38,26,13,17,28,28,33,35,45,17,10,32,51,68,15,3,26,5,78,46,91,82,46,73,23,-,19,76,8,33,49,21,29,60,31,15,25,54,19,21,18,98,5,15,37,10,14,70,45,13,76,69,106,67,108,19,25,24,4,26,73,11,33,21,46,87
"폭력범죄",공갈,27,21,43,35,44,39,52,34,34,15,45,71,18,39,27,81,29,13,38,44,37,58,119,91,38,5,18,12,17,75,30,34,36,29,40,29,31,29,11,27,27,26,25,15,11,45,55,48,21,-,51,7,85,64,79,79,47,92,3,2,12,43,9,32,49,22,36,42,31,36,10,47,11,16,11,70,3,34,32,10,21,60,53,17,83,90,115,52,67,14,50,20,15,33,63,21,47,21,56,66
"폭력범죄",손괴,269,228,401,253,314,267,335,247,201,180,241,360,210,308,327,353,331,184,426,198,403,356,611,420,273,109,102,114,102,636,241,240,204,97,318,280,206,203,232,213,122,199,385,218,190,326,308,420,150,20,165,44,416,233,415,530,221,422,89,16,130,301,172,325,416,234,279,447,238,146,139,345,195,175,201,720,30,221,427,149,200,471,484,131,988,851,1335,600,846,212,397,234,109,354,754,60,360,263,435,751
"지능범죄",직무유기,15,9,12,9,6,8,2,10,8,3,5,3,3,7,6,10,9,5,16,4,9,34,13,12,6,2,9,4,1,12,7,14,4,4,21,10,6,8,2,8,6,3,3,3,1,2,7,10,4,2,6,1,19,7,19,9,10,8,1,-,3,11,-,12,5,2,6,8,3,-,5,12,4,1,9,18,4,2,3,6,2,6,5,1,19,12,12,5,13,1,7,3,4,-,6,8,7,4,7,5
"지능범죄",직권남용,24,15,13,3,10,13,8,6,11,5,6,8,8,16,12,11,11,3,12,4,15,20,23,18,5,7,2,12,-,6,11,3,4,5,9,6,9,7,6,7,2,2,4,2,1,8,7,4,3,1,10,-,31,14,18,23,12,16,2,-,1,67,1,21,10,2,5,13,7,3,7,15,2,2,7,19,4,7,5,4,3,8,7,5,20,33,23,14,19,3,11,-,1,5,15,10,13,4,10,17
"지능범죄",증수뢰,3,3,2,1,5,2,-,4,-,1,4,1,3,8,4,5,-,-,5,-,1,9,12,3,1,-,-,3,2,4,-,2,1,-,1,-,-,2,-,-,3,3,3,-,1,2,3,-,-,-,3,-,5,3,7,1,-,3,-,-,-,2,1,4,2,7,-,1,3,1,1,-,-,-,-,3,-,-,1,2,-,2,1,-,-,3,10,-,5,-,2,-,-,1,8,2,-,1,-,3
"지능범죄",통화,11,49,3,3,8,7,3,4,2,3,9,4,3,7,5,7,2,2,9,2,2,11,14,13,2,3,1,2,-,3,1,4,1,1,2,2,-,-,-,4,1,1,3,1,-,3,-,4,-,-,23,1,3,4,11,3,3,1,-,-,2,4,-,3,4,2,2,10,3,1,2,1,-,-,1,5,-,2,-,2,2,2,4,-,3,8,11,2,-,2,5,2,-,1,5,1,2,1,9,2
"지능범죄",문서/인장,73,76,43,73,80,66,77,57,60,38,59,80,62,137,130,98,100,67,131,54,106,205,250,197,76,36,29,34,25,112,80,76,62,83,132,67,50,91,31,35,73,56,73,32,69,69,125,88,52,4,103,10,109,97,110,120,59,111,17,2,28,105,40,81,111,71,68,120,115,49,34,79,20,25,48,254,44,64,75,42,44,143,144,24,172,222,291,156,159,53,76,43,30,53,195,28,123,53,122,145
"지능범죄",유가증권인지,2,4,-,-,1,1,-,-,1,-,-,1,-,-,-,2,-,-,2,-,1,4,6,3,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,3,-,-,2,-,1,-,1,-,1,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,1,-,-,-,-,1,-,1,-,-,-,2,-,-,-,1,-
"지능범죄",사기,2440,1770,2170,2738,2150,2685,2809,2860,2401,1823,2254,2873,2043,2624,2504,4236,3199,3079,4160,2358,4753,4722,10554,5184,2876,816,1013,1132,707,4417,2095,2800,2492,1351,3338,2191,1719,2023,911,2138,1467,1160,2437,1345,1378,2979,3482,4108,1196,96,1532,248,4099,2725,4179,3764,2192,4834,391,76,926,2978,1322,3505,3721,2394,2684,4779,2902,1319,1216,2816,899,1017,1832,6267,449,1806,3187,1198,1870,4644,4496,748,6451,7468,11536,4323,6387,1498,2936,1744,1070,1981,6964,883,3595,1918,4848,6937
"지능범죄",횡령,766,823,594,555,694,617,468,412,306,245,487,471,446,1013,463,649,583,373,825,569,871,1024,1627,1099,456,213,159,191,95,821,311,372,225,270,448,287,249,263,331,242,251,331,643,237,173,346,411,420,229,11,1064,69,676,558,749,717,298,837,57,9,234,422,162,434,421,236,285,528,285,139,123,379,123,86,196,1504,103,345,402,240,276,517,648,107,1254,1172,1435,635,799,273,750,250,85,309,988,81,656,200,776,654
"지능범죄",배임,36,35,38,27,22,25,19,27,17,9,15,26,15,43,21,41,20,30,58,24,35,92,207,82,19,7,7,10,10,48,19,21,13,19,37,20,13,23,11,23,14,13,22,12,6,9,24,22,19,2,17,4,19,31,29,34,9,40,1,1,9,43,24,22,25,5,12,31,34,4,13,21,1,8,11,57,7,21,28,9,16,37,46,7,47,88,63,30,35,15,34,12,5,12,84,8,26,16,37,47
"풍속범죄",성풍속범죄,129,99,128,123,169,125,126,125,112,82,175,158,130,274,83,262,154,100,194,130,298,196,391,243,155,29,30,32,30,194,82,201,45,50,136,97,109,151,69,61,56,103,110,45,47,144,143,172,53,4,80,22,191,116,240,213,120,273,20,4,48,101,51,128,167,110,80,242,128,58,78,140,37,36,64,403,10,79,90,73,70,118,234,45,296,335,767,196,293,50,178,62,30,89,308,36,199,87,216,239
"풍속범죄",도박범죄,19,16,23,21,44,36,37,16,26,12,26,27,23,28,28,69,35,23,44,205,40,20,126,40,35,7,11,17,11,89,98,33,47,25,43,39,53,201,15,38,33,13,41,27,23,61,69,119,23,-,28,-,50,35,119,70,26,62,10,6,15,71,19,59,87,32,32,76,20,12,39,74,20,42,18,98,24,21,34,19,29,150,41,9,221,99,445,238,107,23,57,20,12,82,77,9,89,23,47,649
