"죄종별(1)",죄종별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"죄종별(1)",죄종별(2),계,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국,한국
"죄종별(1)",죄종별(2),소계,소계,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,부산,대구,대구,대구,대구,대구,대구,대구,대구,대구,대구,인천,인천,인천,인천,인천,인천,인천,인천,인천,인천,인천,광주,광주,광주,광주,광주,광주,대전,대전,대전,대전,대전,대전,울산,울산,울산,울산,울산,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주도,제주도,제주도
"죄종별(1)",죄종별(2),소계,소계,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,소계,중구,서구,동구,영도구,부산진구,동래구,남구,북구,강서구,해운대구,사하구,금정구,연제구,수영구,사상구,기장군,소계,중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군,소계,중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군,소계,동구,서구,남구,북구,광산구,소계,동구,중구,서구,유성구,대덕구,소계,중구,남구,동구,북구,울주군,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,연천군,가평군,양평군,소계,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,소계,제천시,청주시,충주시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군,소계,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,금산군,부여군,서천군,청양군,예산군,태안군,홍성군,소계,군산시,김제시,남원시,익산시,전주시,정읍시,완주군,고창군,부안군,임실군,순창군,진안군,무주군,장수군,소계,광양시,나주시,목포시,순천시,여수시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,소계,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,소계,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,함안군,거창군,창녕군,고성군,하동군,합천군,남해군,함양군,산청군,의령군,소계,서귀포시,제주시
"강력범죄",살인기수,274,272,58,-,3,5,2,1,2,3,1,-,5,3,6,1,1,3,3,2,2,2,1,1,4,3,4,-,18,1,-,-,1,2,3,2,1,-,2,1,1,2,1,-,1,12,1,-,-,-,1,2,7,1,-,13,1,-,3,3,2,2,-,2,-,-,7,-,2,1,2,2,10,2,-,4,4,-,9,1,1,3,1,3,1,56,3,1,3,-,-,-,5,1,-,3,2,8,1,6,-,-,1,-,-,1,-,2,-,4,4,-,2,7,1,-,1,9,2,1,1,-,-,-,-,3,-,-,-,-,1,-,1,-,-,-,9,1,6,2,-,-,-,-,-,-,-,-,13,-,-,-,-,-,2,1,2,-,1,-,-,3,1,3,8,1,1,-,4,2,-,-,-,-,-,-,-,-,-,10,1,-,1,1,3,-,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,13,1,-,3,-,1,1,-,-,-,1,1,1,-,1,1,-,-,-,1,-,1,-,25,1,5,1,2,4,2,6,2,-,-,2,-,-,-,-,-,-,-,1,-,1
"강력범죄",살인미수등,498,493,86,1,2,5,3,1,5,2,1,6,2,4,3,2,3,1,2,5,4,8,-,3,6,13,1,3,34,-,3,2,1,2,-,2,4,3,-,4,3,4,1,5,-,21,1,4,3,-,3,6,1,3,-,40,2,1,11,4,6,5,4,6,1,-,9,1,2,1,3,2,17,5,-,6,4,2,14,6,2,2,1,3,3,118,8,1,1,3,1,3,3,6,2,8,7,9,11,6,3,-,1,-,3,11,1,3,1,7,7,1,2,7,-,1,1,12,3,-,-,-,2,3,-,1,1,-,-,2,-,-,-,-,-,-,14,1,7,1,-,-,1,-,3,-,1,-,30,-,3,1,4,2,4,4,5,2,1,2,-,-,1,1,13,5,1,1,1,3,1,-,-,-,-,-,1,-,-,14,-,-,2,1,5,-,-,-,-,-,2,-,1,-,1,-,-,2,-,-,-,-,23,-,1,2,1,-,-,2,2,6,3,-,-,-,2,-,-,1,2,-,1,-,-,33,2,5,-,2,3,2,8,3,-,1,1,2,1,-,1,-,2,-,12,4,8
"강력범죄",강도,457,451,86,5,5,4,2,6,4,2,1,-,-,3,1,-,4,1,6,-,3,6,1,3,5,17,3,4,38,1,1,5,1,8,4,-,2,2,1,3,4,4,1,1,-,15,1,9,2,-,2,-,1,-,-,33,4,-,8,2,4,8,1,6,-,-,18,-,7,1,3,7,17,5,1,5,5,1,12,-,4,5,1,2,1,91,10,-,2,5,-,1,3,9,4,3,5,7,4,8,-,-,4,-,1,1,-,2,1,6,6,1,1,7,-,-,-,13,1,-,-,-,4,3,1,-,1,-,-,-,1,-,-,-,1,1,12,1,6,2,1,-,-,-,-,1,1,-,29,-,-,2,-,1,4,5,12,-,-,-,-,3,2,-,15,1,-,2,3,7,2,-,-,-,-,-,-,-,-,14,-,1,3,1,3,-,-,-,-,-,1,-,-,-,3,-,-,1,-,1,-,-,19,4,2,2,1,-,-,2,1,-,3,-,-,-,-,1,-,-,1,-,-,2,-,27,3,7,-,2,1,1,5,3,2,1,1,-,1,-,-,-,-,-,11,5,6
"강력범죄",강간,4777,4753,1124,31,21,52,22,49,25,35,32,40,18,29,37,40,89,16,53,30,31,58,20,88,52,161,71,24,297,14,9,13,3,60,20,23,14,9,33,19,16,14,25,14,11,197,29,27,18,25,23,16,47,11,1,316,23,3,78,21,48,72,20,45,4,2,127,8,40,8,32,39,158,28,37,51,30,12,94,12,42,11,14,15,33,1058,59,-,11,19,14,14,29,52,15,70,67,112,51,80,16,54,18,8,27,49,10,43,14,44,71,17,22,56,2,6,8,143,21,4,8,13,25,27,3,10,5,3,4,4,3,-,1,3,2,7,156,14,69,32,3,6,-,5,12,4,10,1,188,3,11,11,14,13,12,32,70,4,2,3,1,5,4,3,171,25,7,8,24,73,8,10,4,8,2,-,-,-,2,147,11,4,39,21,16,2,1,1,5,4,3,5,4,1,7,6,5,3,1,3,3,2,200,22,22,42,9,5,4,15,3,8,40,3,-,-,3,6,-,3,7,3,2,3,-,246,29,34,16,7,20,21,76,16,6,5,3,6,2,-,1,1,1,2,98,21,77
"강력범죄",유사강간,897,896,236,6,7,9,3,9,9,5,8,3,1,6,1,7,23,3,16,7,2,10,7,22,13,42,8,9,57,1,2,-,2,9,3,6,4,2,6,4,4,2,5,4,3,42,3,1,4,3,4,4,16,6,1,49,3,-,11,2,6,9,6,8,1,3,33,5,12,1,3,12,31,8,4,8,9,2,10,-,7,1,-,2,4,203,6,-,3,6,3,4,7,8,2,9,18,27,10,18,2,3,5,2,1,11,-,10,4,6,14,4,2,14,-,2,2,23,3,1,1,-,7,8,-,2,-,-,-,-,-,-,-,-,-,1,21,1,14,4,-,-,1,-,-,-,1,-,49,1,5,5,4,1,6,6,13,1,1,-,1,2,1,2,30,7,3,-,6,7,1,2,1,-,-,1,1,1,-,16,2,-,1,3,4,-,-,-,-,-,-,-,-,-,1,-,-,2,2,-,-,1,45,2,5,12,1,-,3,5,-,4,9,-,-,-,1,-,1,1,-,-,-,1,-,38,2,5,3,2,6,4,9,1,-,1,-,-,2,-,1,1,1,-,9,3,6
"강력범죄",강제추행,15377,15346,4111,171,150,201,88,178,90,102,105,98,55,108,93,83,391,85,193,150,93,212,152,221,295,428,236,133,1033,30,16,49,17,242,57,75,55,35,101,59,52,70,66,63,46,693,150,100,50,44,71,99,126,52,1,1014,90,12,168,97,160,215,71,181,15,5,422,42,132,49,101,98,450,55,94,164,84,53,277,45,122,37,31,42,85,3372,210,15,44,75,58,49,99,121,37,251,236,369,135,229,39,153,65,36,63,193,32,130,65,121,192,43,55,191,11,25,30,412,53,21,12,28,110,62,8,20,8,10,4,16,14,9,11,6,6,14,403,22,214,59,6,12,4,8,29,7,30,12,626,4,27,16,54,29,60,94,243,22,5,7,5,16,18,26,453,75,19,15,85,175,15,21,18,6,4,2,3,11,4,454,32,23,91,69,71,9,4,3,13,8,12,5,9,16,18,16,3,12,16,10,9,5,567,49,57,100,26,12,13,41,20,23,131,4,8,1,8,4,9,10,27,12,4,4,4,727,75,109,28,30,63,77,229,41,6,6,11,14,8,3,9,7,6,5,247,64,183
